walkerId,firstService,returnFromLoss,returnFromPassive,retained
c9ad29d6-8bd9-45d5-8065-19a5e404c515,10,0,0,44
63e6ea9a-1697-4236-8623-960902bfbfc8,2,0,0,2
5384a631-0aa3-46d3-840f-3d19d7163b59,8,0,1,8
1ec20a04-1dde-4649-9f63-2cbf53107d69,6,0,0,24
b2efb507-92b9-452f-9dc6-648a27799c57,3,0,0,3
bdc85172-be44-4484-85f3-b7e1f9330633,16,0,0,30
9c7335cf-5531-48e9-9575-650f86552e0b,6,0,0,6
86512c6e-c292-487a-bf52-8cdfdee8a10c,16,0,0,21
557e8aa3-1612-4c86-adef-b23e2ac7e52e,19,6,0,183
1ce3c2d8-b4fc-4077-a794-956d1c4c30ee,2,0,0,39
480592f2-062b-4c32-aa8d-c6e0c2f59868,29,0,0,47
30666abb-e2ce-485e-8e8e-03e2776b05d9,10,5,21,32
f92847c9-a12a-48d6-b8e5-24b877dbcc5a,8,0,0,8
95d76ee7-0b10-449b-a7f0-95cd94848473,6,0,0,13
276cbc72-1d50-4eab-9409-63826be9ade9,5,1,0,13
388e23e5-0e39-4afb-9334-dbca86300eb6,13,0,0,13
c01159d8-394e-4b76-92cf-2084a85fb69a,34,0,0,39
a7515e35-f3d1-43d6-af42-d9857b0b95d9,13,0,0,13
b4c3fbb6-f192-4203-baa6-dc5864922d27,4,0,0,4
f71572ae-9444-4046-8bcb-6ff5d2db2a80,20,0,0,28
1b040527-cd13-4633-a0f4-4341380d79cb,9,0,0,11
aea49c6a-f4de-4ab4-98e7-585ceb129690,2,1,0,2
d02da53d-2069-4a49-94fd-d0c7e267ac4f,10,0,0,11
50bc1be8-2f4e-45d5-aa58-4f5bc101f83b,18,0,3,51
a25e3b34-e080-4a58-a163-3790057c9b9a,3,6,0,3
abe088f9-1317-4feb-9adf-ebe21fac591a,10,0,3,21
72f3421d-a5a7-4dce-883f-6e7ac0f2b314,1,0,0,1
5a336e2b-d58b-418d-9a83-6a6da7fad6fa,1,0,5,4
5100f56f-bd11-425f-93b8-be62e05b42c0,1,6,0,3
51bfa3ea-ab13-432e-a3d6-56aaaf909c57,6,0,0,6
23e93576-fa5f-4660-a5de-f9a74ec2433a,5,0,0,9
